fund_id,denominacao_social,classe_anbima_raw,nivel1,nivel2_acoes
11911491000149,RC FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CRÉDITO PRIVADO,Multimercados Invest. no Exterior,Multimercado,
11952640000118,FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO AD VALOREM,Multimercados Invest. no Exterior,Multimercado,
11952676000100,FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO DOREL,Multimercados Invest. no Exterior,Multimercado,
11952800000129,PERFIN FORESIGHT MASTER FIF - CLASSE DE INVESTIMENTO EM AÇÕES - RESP  LIMITADA,Ações Livre,Ações,Ativo
11952816000131,LUXOR MANGALARGA FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FUNDOS DE INVESTIMENTO EM AÇÕES,Ações Invest. no Exterior,Ações,Internacional
11952844000159,UBS BÚZIOS EQUITIES FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11952873000110,BTG PACTUAL HEDGE SIGMA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11959578000196,RT ENDEAVOUR FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11959639000115,PONTREMOLI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11959650000185,FIF ITAÚ RT HORIZON RF - RESP LIMITADA,Previdência RF Duração Baixa Grau de Inv,Ações,Ativo
11960140000128,GAJI FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO - RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11960188000136,RT VALIANT FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11960212000137,FUNDO DE INVESTIMENTO FINANCEIRO COLUMBUS MULTIMERCADO - RESPONSABILIDADE LIMITADA,Multimercados Livre,Multimercado,
11960246000121,JUPITER FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11960479000124,CLF FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESP LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11960947000160,ITAU FLEXPREV JJJ FUNDO DE INVESTIMENTO FINANCEIRO DA CIC MULT - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11961048000182,ITAÚ FLEXPREV SILVER FIF CIC MULT CRED PRIV - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11961056000129,ITAÚ PRIVATE MACRO PREV FIF CIC MULT - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11961080000168,MAG PREVIDÊNCIA CRÉDITO PRIVADO FIF - CLASSE DE INVESTIMENTO RF  - RESP  LIMITADA,Previdência RF Duração Livre Grau de Inv,Ações,Ativo
11961161000168,CULTINVEST VALOR EM AÇÕES LIVRE FUNDO DE INVESTIMENTO FINANCEIRO RESPONSABILIDADE LIMITADA,Ações Valor/Crescimento,Ações,Ativo
11961173000192,VEXTY SUL AMERICA FUNDO DE INVESTIMENTO FINANCEIRO RENDA FIXA - RESPONSABILIDADE LIMITADA,Renda Fixa Duração Livre Grau de Invest.,Renda Fixa,
11961181000139,ITACOLOMY FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
11961199000130,NEO NAVITAS FIF CIC EM AÇÕES RESPONSABILIDADE LIMITADA,Ações Valor/Crescimento,Ações,Ativo
11961206000102,RHODES FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO CRÉDITO PRIVADO RESPONSABILIDADE LIMITADA,Multimercados Livre,Multimercado,
11965107000190,BRASIL PLURAL RECUPERAÇÃO DE CRÉDITO PETROS FUNDO DE INVESTIMENTO MULTIMERCADO CRÉDITO PRIVADO,Multimercados Dinâmico,Multimercado,
11977572000141,CONSTELLATION 60 FUNDO DE INVESTIMENTO EM COTAS DE FUNDOS DE INVESTIMENTO DE AÇÕES,Ações Livre,Ações,Ativo
11977607000142,AZ QUEST MASTER FUNDO DE INVESTIMENTO FINANCEIRO EM AÇÕES RESPONSABILIDADE LIMITADA,Ações Livre,Ações,Ativo
11977757000156,BB CENTRAL AILOS FUNDO DE INVESTIMENTO FINANCEIRO EXCLUSIVO RENDA FIXA CRÉDITO PRIVADO RESP LIMITADA,Renda Fixa Duração Baixa Grau de Invest.,Renda Fixa,
11977794000164,BTG PACTUAL ABSOLUTO INSTITUCIONAL FUNDO DE INVESTIMENTO FINANCEIRO EM COTAS DE FI  EM AÇÕES,Ações Livre,Ações,Ativo
11978808000164,ITAÚ FLEXPREV MACRO PREV FIF DA CLASSE DE INVESTIMENTO EM COTAS MULT- RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
11980010000157,EQUITAS MASTER SELECTION FUNDO DE INVESTIMENTO FINANCEIRO DE AÇÕES - RESPONSABILIDADE LIMITADA,Ações Valor/Crescimento,Ações,Ativo
11991663000131,CSHG GEOMAX EI FUNDO DE INVESTIMENTO FINANCEIRO - MULTIMERCADO CREDITO PRIVADO RESP LIMITADA,Multimercados Invest. no Exterior,Multimercado,
11995076000110,ENDURANCE FIC DE FIF EM AÇÕES - RESPONSABILIDADE LIMITADA,Ações Livre,Ações,Ativo
12003576000191,AREIAL FUNDO DE INVESTIMENTO FINANCEIRO MULTIMERCADO,Multimercados Invest. no Exterior,Multimercado,
12004076000174,TI LEGADO ICATU PREV QUALIFICADO FIF- CLASSE DE INVESTIMENTO MULT CRED PRIV - RESP LIMITADA,Previdência Multimercado Livre,Multimercado,
